Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2025-06-23 17:34:39,2025,6,23,0,3265,2980.0,8.43,175.0,149.0,HOKA Bondi 8 Błękit,15.768,10.188,108.0,78.0,700.0
2025-06-28 06:52:02,2025,6,28,5,145,140.0,0.39,139.0,128.0,HOKA Mach 6 Biel,12.888,10.231200000000001,83.0,78.0,31.0
2025-06-28 07:04:00,2025,6,28,5,1413,1413.0,5.01,184.0,171.0,HOKA Mach 6 Biel,20.16,12.78,95.0,83.0,394.0
2025-07-06 11:03:41,2025,7,6,6,1242,1242.0,4.01,169.0,163.0,HOKA Mach 6 Biel,15.552000000000001,11.635200000000001,88.0,83.0,331.0
2025-07-13 11:16:26,2025,7,13,6,1745,1732.0,5.29,181.0,169.0,HOKA Mach 6 Biel,29.232,11.008799999999999,89.0,82.0,448.0
2025-07-14 17:35:42,2025,7,14,0,1337,1268.0,3.40,156.0,143.0,HOKA Bondi 8 Błękit,13.824,9.6768,82.0,77.0,277.0
2025-07-19 06:47:57,2025,7,19,5,356,356.0,0.98,146.0,129.0,HOKA Mach 6 Biel,12.816,9.982800000000001,82.0,80.0,76.0
2025-07-19 07:00:41,2025,7,19,5,1408,1408.0,5.00,187.0,175.0,HOKA Mach 6 Biel,18.144000000000002,12.7944,90.0,83.0,400.0
2025-07-23 13:07:32,2025,7,23,2,1467,1467.0,4.19,171.0,158.0,HOKA Bondi 8 Błękit,15.120000000000001,10.285200000000001,82.0,77.0,362.0
2025-07-29 18:46:32,2025,7,29,1,2351,2312.0,6.40,176.0,150.0,HOKA Bondi 8 Błękit,16.776,9.9756,86.0,76.0,517.0
2025-08-02 06:43:31,2025,8,2,5,620,620.0,1.67,150.0,136.0,HOKA Mach 6 Biel,11.952,9.7056,82.0,79.0,134.0
2025-08-02 07:01:46,2025,8,2,5,1440,1440.0,5.00,180.0,169.0,HOKA Mach 6 Biel,17.424,12.5136,91.0,82.0,407.0
2025-08-03 10:04:35,2025,8,3,6,3153,2770.0,8.01,173.0,148.0,HOKA Bondi 8 Błękit,15.552000000000001,10.4112,109.0,78.0,658.0
2025-08-10 09:02:37,2025,8,10,6,4236,4221.0,10.68,165.0,149.0,HOKA Mach 6 Biel,24.552000000000003,9.107999999999999,118.0,78.0,876.0
2025-08-11 15:37:55,2025,8,11,0,77,77.0,0.42,166.0,152.0,HOKA Mach 6 Biel,23.688000000000002,19.8648,103.0,96.0,19.0
2025-08-11 15:06:44,2025,8,11,0,1653,1625.0,4.81,158.0,141.0,HOKA Mach 6 Biel,18.0,10.656,87.0,80.0,375.0
2025-08-11 15:52:12,2025,8,11,0,252,252.0,1.01,167.0,153.0,HOKA Mach 6 Biel,20.448,14.453999999999999,96.0,86.0,69.0
2025-08-13 13:45:23,2025,8,13,2,2831,2434.0,7.05,167.0,151.0,HOKA Bondi 8 Błękit,14.688,10.4292,83.0,79.0,581.0
2025-08-16 19:14:57,2025,8,16,5,3235,3145.0,9.48,169.0,155.0,HOKA Bondi 8 Błękit,13.824,10.8576,81.0,78.0,769.0
2025-08-17 16:11:30,2025,8,17,6,636,636.0,2.05,161.0,149.0,HOKA Bondi 8 Błękit,15.120000000000001,11.6532,83.0,80.0,162.0
2025-08-20 17:16:00,2025,8,20,2,3524,3375.0,10.30,170.0,153.0,HOKA Bondi 8 Błękit,15.192,10.9872,90.0,78.0,828.0
2025-08-23 11:08:27,2025,8,23,5,3358,3201.0,10.01,179.0,165.0,,22.752000000000002,11.2572,88.0,79.0,850.0
2025-08-24 13:07:20,2025,8,24,6,1805,1805.0,5.58,167.0,153.0,HOKA Bondi 8 Błękit,13.68,11.1348,81.0,79.0,450.0
2025-08-26 17:19:16,2025,8,26,1,8066,7719.0,21.51,160.0,145.0,HOKA Bondi 8 Błękit,15.984000000000002,10.0332,85.0,78.0,1709.0
2025-08-30 14:06:38,2025,8,30,5,2579,2511.0,7.44,158.0,147.0,HOKA Bondi 8 Błękit,14.616,10.677600000000002,81.0,78.0,589.0
2025-08-31 15:42:54,2025,8,31,6,3455,3455.0,10.23,174.0,156.0,HOKA Bondi 8 Błękit,12.96,10.6668,82.0,78.0,849.0
2025-09-03 18:22:19,2025,9,3,2,3013,2868.0,8.70,166.0,149.0,HOKA Bondi 8 Błękit,15.840000000000002,10.926,107.0,79.0,686.0
2025-09-06 15:35:20,2025,9,6,5,1720,1604.0,5.00,160.0,147.0,HOKA Mach 6 Biel,19.08,11.2392,82.0,79.0,389.0
2025-09-07 12:14:20,2025,9,7,6,7582,7559.0,20.84,161.0,147.0,HOKA Mach 6 Biel,20.88,9.9252,119.0,80.0,1721.0
